Entity,Year,Solar Capacity
Africa,2021,1.030.226
Asia,2021,50.157.628.000.000.000
China,2021,3.064.028
Europe,2021,18.494.838.000.000.000
North America,2021,10.488.262
Oceania,2021,19.074
South America,2020,1.184.873
United States,2021,9.371.301.600.000.000
